ID;ENGLISH;FRENCH;LANGUAGE_3;LANGUAGE_4;LANGUAGE_5;LANGUAGE_6;LANGUAGE_7;LANGUAGE_8;LANGUAGE_9;LANGUAGE_10;
MO1_1_Mariam;Nastulus, please, when even was the last time \n something like this was accepted by the university?;Nastulus, s'il vous plaît, quand est-ce que\nl'université a accepté quelque chose de pareil pour la dernière fois ?;;;;;;;;;
MO1_2_Nastulus;Some… 30 years ago. \n If my memory doesn’t betray me, that is.;Il y a peut être bien... 30 ans. Si ma mémoire ne me trompe pas bien sûr.;;;;;;;;;
MO1_3_Mariam;This is too much responsibility, \n I’ve barely finished my studies with you!;C'est trop de responsabilités\nje viens à peine de finir mes études avec vous !;;;;;;;;;
MO1_4_Nastulus;Mariam, listen to me, I’ve seen many, \n many students of the stars in my time… ;Mariam, écoutez moi,\nj'ai eu la chance de rencontrer un grand nombre d'astronomes en études de mon temps...;;;;;;;;;
MO1_5_Nastulus;They are not here in your place today, \n think about why that is.;Aucun d'entre eux ne sont ici à votre place aujourd'hui,\ndemandez vous pourquoi.;;;;;;;;;
MO1_6_Mariam;Master, I want to continue your work and…;Maitre, je veux continuer vos travaux et...;;;;;;;;;
MO1_7_Mariam;I want to teach in your name, I do, \n but I’m not ready… I don’t think I can be like you.;Je veux enseigner en votre nom, je le veux,\nmais je ne suis pas prête... Je ne pense pas pouvoir être comme vous.;;;;;;;;;
MO1_8_Nastulus;Then teach the things I taught you. \n And teach them the way I taught you…;Alors enseignez ce que je vous ai appris.\nEt enseignez les comme je vous ai appris.;;;;;;;;;
MO1_9_Nastulus;Think of the founding story, you are like al-Fihriya \n before she decided to build the university.;Pensez à la création de cette université, vous êtes comme al-Fihirya\navant qu'elle ne décide de l'établir.;;;;;;;;;
MO1_10_Nastulus;You are about to do something great… \n You just don’t know it yet.;Vous êtes sur le point de faire quelque chose de grand...\nVous ne le savez juste pas encore.;;;;;;;;;
MO1_11_Mariam;Will it still be proper for me to come to you? \n When I need your advice?;Est-ce que je pourrais toujours vous rendre visite ?\nQuand j'aurais besoin de vos conseils ?;;;;;;;;;
MO1_12_Nastulus;You will always be my most welcome student Mariam. \n Even though no man-;Vous serez toujours la bienvenue Mariam. Même si nul-;;;;;;;;;
MO1_13_Mariam;-ever steps in the same river twice.;-ne marche deux fois dans la même rivière.;;;;;;;;;
MO1_14_Mariam;I know, Thank you.;Je sais, merci.;;;;;;;;;
